date,Inflation,Labour,Financial,Monetary,Real,country,RECESSION
1974-06-01,,,,,,CAN,0
1974-06-01,,,,,,FRA,1
1974-06-01,,,,,,DEU,1
1974-06-01,,,,,,JPN,1
1974-06-01,,,,,,USA,1
1974-06-01,,,,,,AUS,0
1974-06-01,,,,,,GBR,1
1974-07-01,,,,,,GBR,1
1974-07-01,,,,,,FRA,1
1974-07-01,,,,,,JPN,1
1974-07-01,,,,,,CAN,0
1974-07-01,,,,,,USA,1
1974-07-01,,,,,,AUS,0
1974-07-01,,,,,,DEU,1
1974-08-01,,,,,,GBR,1
1974-08-01,,,,,,JPN,1
1974-08-01,,,,,,AUS,0
1974-08-01,,,,,,CAN,0
1974-08-01,,,,,,DEU,1
1974-08-01,,,,,,FRA,1
1974-08-01,,,,,,USA,1
1974-09-01,,,,,,FRA,1
1974-09-01,,,,,,DEU,1
1974-09-01,,,,,,JPN,1
1974-09-01,,,,,,AUS,1
1974-09-01,,,,,,GBR,1
1974-09-01,,,,,,CAN,1
1974-09-01,,,,,,USA,1
1974-10-01,,,,,,CAN,1
1974-10-01,,,,,,FRA,1
1974-10-01,,,,,,USA,1
1974-10-01,,,,,,JPN,1
1974-10-01,,,,,,GBR,1
1974-10-01,,,,,,DEU,1
1974-10-01,,,,,,AUS,1
1974-11-01,,,,,,DEU,1
1974-11-01,,,,,,CAN,1
1974-11-01,,,,,,AUS,1
1974-11-01,,,,,,FRA,1
1974-11-01,,,,,,GBR,1
1974-11-01,,,,,,JPN,1
1974-11-01,,,,,,USA,1
1974-12-01,,,,,,USA,1
1974-12-01,,,,,,CAN,1
1974-12-01,,,,,,JPN,1
1974-12-01,,,,,,DEU,1
1974-12-01,,,,,,FRA,1
1974-12-01,,,,,,GBR,1
1974-12-01,,,,,,AUS,1
1975-01-01,,,,,,JPN,1
1975-01-01,,,,,,DEU,1
1975-01-01,,,,,,CAN,1
1975-01-01,,,,,,FRA,1
1975-01-01,,,,,,USA,1
1975-01-01,,,,,,GBR,1
1975-01-01,,,,,,AUS,1
1975-02-01,,,,,,DEU,1
1975-02-01,,,,,,FRA,1
1975-02-01,,,,,,USA,1
1975-02-01,,,,,,JPN,1
1975-02-01,,,,,,CAN,1
1975-02-01,,,,,,GBR,1
1975-02-01,,,,,,AUS,1
1975-03-01,,,,,,GBR,1
1975-03-01,,,,,,JPN,1
1975-03-01,,,,,,FRA,1
1975-03-01,,,,,,AUS,1
1975-03-01,,,,,,USA,1
1975-03-01,,,,,,DEU,1
1975-03-01,,,,,,CAN,1
1975-04-01,,,,,,AUS,1
1975-04-01,,,,,,USA,0
1975-04-01,,,,,,FRA,1
1975-04-01,,,,,,DEU,1
1975-04-01,,,,,,JPN,0
1975-04-01,,,,,,CAN,1
1975-04-01,,,,,,GBR,1
1975-05-01,,,,,,JPN,0
1975-05-01,,,,,,GBR,1
1975-05-01,,,,,,DEU,1
1975-05-01,,,,,,FRA,1
1975-05-01,,,,,,CAN,1
1975-05-01,,,,,,AUS,1
1975-05-01,,,,,,USA,0
1975-06-01,,,,,,FRA,1
1975-06-01,,,,,,GBR,1
1975-06-01,,,,,,CAN,1
1975-06-01,,,,,,DEU,1
1975-06-01,,,,,,JPN,0
1975-06-01,,,,,,AUS,1
1975-06-01,,,,,,USA,0
1975-07-01,,,,,,GBR,1
1975-07-01,,,,,,CAN,0
1975-07-01,,,,,,JPN,0
1975-07-01,,,,,,USA,0
1975-07-01,,,,,,AUS,1
1975-07-01,,,,,,FRA,0
1975-07-01,,,,,,DEU,1
1975-08-01,,,,,,GBR,1
1975-08-01,,,,,,FRA,0
1975-08-01,,,,,,DEU,0
1975-08-01,,,,,,AUS,0
1975-08-01,,,,,,CAN,0
1975-08-01,,,,,,JPN,0
1975-08-01,,,,,,USA,0
1975-09-01,,,,,,USA,0
1975-09-01,,,,,,DEU,0
1975-09-01,,,,,,CAN,0
1975-09-01,,,,,,AUS,0
1975-09-01,,,,,,JPN,0
1975-09-01,,,,,,FRA,0
1975-09-01,,,,,,GBR,0
1975-10-01,,,,,,AUS,0
1975-10-01,,,,,,CAN,0
1975-10-01,,,,,,FRA,0
1975-10-01,,,,,,DEU,0
1975-10-01,,,,,,USA,0
1975-10-01,,,,,,JPN,0
1975-10-01,,,,,,GBR,0
1975-11-01,,,,,,AUS,0
1975-11-01,,,,,,FRA,0
1975-11-01,,,,,,USA,0
1975-11-01,,,,,,GBR,0
1975-11-01,,,,,,CAN,0
1975-11-01,,,,,,DEU,0
1975-11-01,,,,,,JPN,0
1975-12-01,,,,,,GBR,0
1975-12-01,,,,,,AUS,0
1975-12-01,,,,,,FRA,0
1975-12-01,,,,,,JPN,0
1975-12-01,,,,,,CAN,0
1975-12-01,,,,,,DEU,0
1975-12-01,,,,,,USA,0
1976-01-01,,,,,,USA,0
1976-01-01,,,,,,DEU,0
1976-01-01,,,,,,FRA,0
1976-01-01,,,,,,AUS,0
1976-01-01,,,,,,CAN,0
1976-01-01,,,,,,GBR,0
1976-01-01,,,,,,JPN,0
1976-02-01,,,,,,GBR,0
1976-02-01,,,,,,JPN,0
1976-02-01,,,,,,CAN,0
1976-02-01,,,,,,FRA,0
1976-02-01,,,,,,DEU,0
1976-02-01,,,,,,USA,0
1976-02-01,,,,,,AUS,0
1976-03-01,,,,,,GBR,0
1976-03-01,,,,,,AUS,0
1976-03-01,,,,,,FRA,0
1976-03-01,,,,,,JPN,0
1976-03-01,,,,,,DEU,0
1976-03-01,,,,,,CAN,0
1976-03-01,,,,,,USA,0
1976-04-01,,,,,,DEU,0
1976-04-01,,,,,,CAN,0
1976-04-01,,,,,,FRA,0
1976-04-01,,,,,,USA,0
1976-04-01,,,,,,AUS,0
1976-04-01,,,,,,GBR,0
1976-04-01,,,,,,JPN,0
1976-05-01,,,,,,DEU,0
1976-05-01,,,,,,USA,0
1976-05-01,,,,,,JPN,0
1976-05-01,,,,,,FRA,0
1976-05-01,,,,,,AUS,0
1976-05-01,,,,,,GBR,0
1976-05-01,,,,,,CAN,0
1976-06-01,,,,,,JPN,0
1976-06-01,,,,,,DEU,0
1976-06-01,,,,,,GBR,0
1976-06-01,,,,,,USA,0
1976-06-01,,,,,,CAN,0
1976-06-01,,,,,,AUS,0
1976-06-01,,,,,,FRA,0
1976-07-01,,,,,,USA,0
1976-07-01,,,,,,JPN,0
1976-07-01,,,,,,CAN,0
1976-07-01,,,,,,AUS,0
1976-07-01,,,,,,DEU,0
1976-07-01,,,,,,GBR,0
1976-07-01,,,,,,FRA,0
1976-08-01,,,,,,USA,0
1976-08-01,,,,,,FRA,0
1976-08-01,,,,,,CAN,0
1976-08-01,,,,,,DEU,0
1976-08-01,,,,,,AUS,0
1976-08-01,,,,,,JPN,0
1976-08-01,,,,,,GBR,0
1976-09-01,,,,,,AUS,0
1976-09-01,,,,,,USA,0
1976-09-01,,,,,,DEU,0
1976-09-01,,,,,,JPN,0
1976-09-01,,,,,,CAN,0
1976-09-01,,,,,,FRA,0
1976-09-01,,,,,,GBR,0
1976-10-01,,,,,,AUS,0
1976-10-01,,,,,,USA,0
1976-10-01,,,,,,FRA,0
1976-10-01,,,,,,CAN,0
1976-10-01,,,,,,GBR,0
1976-10-01,,,,,,JPN,0
1976-10-01,,,,,,DEU,0
1976-11-01,,,,,,USA,0
1976-11-01,,,,,,CAN,0
1976-11-01,,,,,,JPN,0
1976-11-01,,,,,,FRA,0
1976-11-01,,,,,,AUS,0
1976-11-01,,,,,,DEU,0
1976-11-01,,,,,,GBR,0
1976-12-01,,,,,,CAN,0
1976-12-01,,,,,,USA,0
1976-12-01,,,,,,FRA,0
1976-12-01,,,,,,AUS,0
1976-12-01,,,,,,GBR,0
1976-12-01,,,,,,JPN,0
1976-12-01,,,,,,DEU,0
1977-01-01,,,,,,GBR,0
1977-01-01,,,,,,JPN,0
1977-01-01,,,,,,FRA,0
1977-01-01,,,,,,AUS,0
1977-01-01,,,,,,CAN,0
1977-01-01,,,,,,USA,0
1977-01-01,,,,,,DEU,0
1977-02-01,,,,,,AUS,0
1977-02-01,,,,,,USA,0
1977-02-01,,,,,,JPN,0
1977-02-01,,,,,,CAN,0
1977-02-01,,,,,,GBR,0
1977-02-01,,,,,,FRA,0
1977-02-01,,,,,,DEU,0
1977-03-01,,,,,,CAN,0
1977-03-01,,,,,,FRA,0
1977-03-01,,,,,,DEU,0
1977-03-01,,,,,,AUS,0
1977-03-01,,,,,,JPN,0
1977-03-01,,,,,,USA,0
1977-03-01,,,,,,GBR,0
1977-04-01,,,,,,CAN,0
1977-04-01,,,,,,AUS,0
1977-04-01,,,,,,FRA,0
1977-04-01,,,,,,JPN,0
1977-04-01,,,,,,GBR,0
1977-04-01,,,,,,DEU,0
1977-04-01,,,,,,USA,0
1977-05-01,,,,,,USA,0
1977-05-01,,,,,,AUS,0
1977-05-01,,,,,,JPN,0
1977-05-01,,,,,,GBR,0
1977-05-01,,,,,,DEU,0
1977-05-01,,,,,,CAN,0
1977-05-01,,,,,,FRA,0
1977-06-01,,,,,,CAN,0
1977-06-01,,,,,,JPN,0
1977-06-01,,,,,,USA,0
1977-06-01,,,,,,GBR,0
1977-06-01,,,,,,AUS,0
1977-06-01,,,,,,DEU,0
1977-06-01,,,,,,FRA,0
1977-07-01,,,,,,CAN,0
1977-07-01,,,,,,GBR,0
1977-07-01,,,,,,FRA,0
1977-07-01,,,,,,DEU,0
1977-07-01,,,,,,JPN,0
1977-07-01,,,,,,USA,0
1977-07-01,,,,,,AUS,0
1977-08-01,,,,,,GBR,0
1977-08-01,,,,,,USA,0
1977-08-01,,,,,,DEU,0
1977-08-01,,,,,,CAN,0
1977-08-01,,,,,,AUS,0
1977-08-01,,,,,,FRA,0
1977-08-01,,,,,,JPN,0
1977-09-01,,,,,,FRA,0
1977-09-01,,,,,,USA,0
1977-09-01,,,,,,JPN,0
1977-09-01,,,,,,AUS,0
1977-09-01,,,,,,DEU,0
1977-09-01,,,,,,GBR,0
1977-09-01,,,,,,CAN,0
1977-10-01,,,,,,JPN,0
1977-10-01,,,,,,USA,0
1977-10-01,,,,,,GBR,0
1977-10-01,,,,,,AUS,0
1977-10-01,,,,,,CAN,0
1977-10-01,,,,,,DEU,0
1977-10-01,,,,,,FRA,0
1977-11-01,,,,,,AUS,0
1977-11-01,,,,,,GBR,0
1977-11-01,,,,,,DEU,0
1977-11-01,,,,,,CAN,0
1977-11-01,,,,,,FRA,0
1977-11-01,,,,,,USA,0
1977-11-01,,,,,,JPN,0
1977-12-01,,,,,,GBR,0
1977-12-01,,,,,,FRA,0
1977-12-01,,,,,,DEU,0
1977-12-01,,,,,,AUS,0
1977-12-01,,,,,,CAN,0
1977-12-01,,,,,,USA,0
1977-12-01,,,,,,JPN,0
1978-01-01,,,,,,FRA,0
1978-01-01,,,,,,AUS,0
1978-01-01,,,,,,USA,0
1978-01-01,,,,,,DEU,0
1978-01-01,,,,,,CAN,0
1978-01-01,,,,,,JPN,0
1978-01-01,,,,,,GBR,0
1978-02-01,,,,,,DEU,0
1978-02-01,,,,,,GBR,0
1978-02-01,,,,,,JPN,0
1978-02-01,,,,,,FRA,0
1978-02-01,,,,,,AUS,0
1978-02-01,,,,,,CAN,0
1978-02-01,,,,,,USA,0
1978-03-01,,,,,,GBR,0
1978-03-01,,,,,,DEU,0
1978-03-01,,,,,,USA,0
1978-03-01,,,,,,CAN,0
1978-03-01,,,,,,JPN,0
1978-03-01,,,,,,FRA,0
1978-03-01,,,,,,AUS,0
1978-04-01,,,,,,USA,0
1978-04-01,,,,,,DEU,0
1978-04-01,,,,,,FRA,0
1978-04-01,,,,,,AUS,0
1978-04-01,,,,,,CAN,0
1978-04-01,,,,,,JPN,0
1978-04-01,,,,,,GBR,0
1978-05-01,,,,,,FRA,0
1978-05-01,,,,,,GBR,0
1978-05-01,,,,,,CAN,0
1978-05-01,,,,,,USA,0
1978-05-01,,,,,,DEU,0
1978-05-01,,,,,,JPN,0
1978-05-01,,,,,,AUS,0
1978-06-01,,,,,,USA,0
1978-06-01,,,,,,DEU,0
1978-06-01,,,,,,CAN,0
1978-06-01,,,,,,FRA,0
1978-06-01,,,,,,JPN,0
1978-06-01,,,,,,GBR,0
1978-06-01,,,,,,AUS,0
1978-07-01,,,,,,USA,0
1978-07-01,,,,,,JPN,0
1978-07-01,,,,,,GBR,0
1978-07-01,,,,,,DEU,0
1978-07-01,,,,,,FRA,0
1978-07-01,,,,,,CAN,0
1978-07-01,,,,,,AUS,0
1978-08-01,,,,,,FRA,0
1978-08-01,,,,,,GBR,0
1978-08-01,,,,,,JPN,0
1978-08-01,,,,,,USA,0
1978-08-01,,,,,,CAN,0
1978-08-01,,,,,,AUS,0
1978-08-01,,,,,,DEU,0
1978-09-01,,,,,,JPN,0
1978-09-01,,,,,,GBR,0
1978-09-01,,,,,,FRA,0
1978-09-01,,,,,,AUS,0
1978-09-01,,,,,,DEU,0
1978-09-01,,,,,,USA,0
1978-09-01,,,,,,CAN,0
1978-10-01,,,,,,CAN,0
1978-10-01,,,,,,JPN,0
1978-10-01,,,,,,FRA,0
1978-10-01,,,,,,GBR,0
1978-10-01,,,,,,USA,0
1978-10-01,,,,,,AUS,0
1978-10-01,,,,,,DEU,0
1978-11-01,,,,,,FRA,0
1978-11-01,,,,,,DEU,0
1978-11-01,,,,,,JPN,0
1978-11-01,,,,,,CAN,0
1978-11-01,,,,,,GBR,0
1978-11-01,,,,,,USA,0
1978-11-01,,,,,,AUS,0
1978-12-01,,,,,,USA,0
1978-12-01,,,,,,JPN,0
1978-12-01,,,,,,FRA,0
1978-12-01,,,,,,GBR,0
1978-12-01,,,,,,DEU,0
1978-12-01,,,,,,AUS,0
1978-12-01,,,,,,CAN,0
1979-01-01,,,,,,GBR,0
1979-01-01,,,,,,DEU,0
1979-01-01,,,,,,JPN,0
1979-01-01,,,,,,CAN,0
1979-01-01,,,,,,USA,0
1979-01-01,,,,,,AUS,0
1979-01-01,,,,,,FRA,0
1979-02-01,95.91836734693877,79.59183673469387,16.3265306122449,32.6530612244898,79.59183673469387,DEU,0
1979-02-01,95.91836734693877,36.734693877551024,51.02040816326531,2.0408163265306123,36.734693877551024,FRA,0
1979-02-01,,2.0408163265306123,63.26530612244898,97.95918367346938,16.3265306122449,CAN,0
1979-02-01,69.38775510204081,71.42857142857143,40.816326530612244,,71.42857142857143,GBR,0
1979-02-01,100.0,63.26530612244898,91.83673469387756,91.83673469387756,36.734693877551024,USA,0
1979-02-01,,18.367346938775512,4.081632653061225,30.612244897959183,18.367346938775512,AUS,0
1979-02-01,63.26530612244898,0.0,0.0,,20.408163265306122,JPN,0
1979-03-01,,0.0,74.0,96.0,18.0,CAN,0
1979-03-01,96.0,22.0,20.0,34.0,22.0,DEU,0
1979-03-01,72.0,22.0,24.0,,22.0,GBR,0
1979-03-01,100.0,68.0,92.0,90.0,46.0,USA,0
1979-03-01,,22.0,12.0,34.0,22.0,AUS,0
1979-03-01,96.0,36.0,54.0,14.000000000000002,36.0,FRA,0
1979-03-01,52.0,8.0,0.0,,38.0,JPN,0
1979-04-01,100.0,76.47058823529412,94.11764705882352,80.3921568627451,78.43137254901961,USA,0
1979-04-01,,23.52941176470588,76.47058823529412,92.15686274509804,54.90196078431373,CAN,0
1979-04-01,80.3921568627451,13.725490196078432,21.568627450980394,,13.725490196078432,GBR,0
1979-04-01,68.62745098039215,9.803921568627452,1.9607843137254901,,47.05882352941176,JPN,0
1979-04-01,,33.33333333333333,13.725490196078432,72.54901960784314,33.33333333333333,AUS,0
1979-04-01,98.0392156862745,64.70588235294117,52.94117647058824,21.568627450980394,64.70588235294117,FRA,0
1979-04-01,96.07843137254902,45.09803921568628,27.450980392156865,64.70588235294117,45.09803921568628,DEU,0
1979-05-01,,0.0,76.92307692307693,94.23076923076923,34.61538461538461,CAN,0
1979-05-01,88.46153846153845,0.0,7.6923076923076925,,28.846153846153843,JPN,0
1979-05-01,,7.6923076923076925,13.461538461538462,76.92307692307693,7.6923076923076925,AUS,0
1979-05-01,98.07692307692307,38.46153846153847,50.0,46.15384615384615,38.46153846153847,FRA,0
1979-05-01,88.46153846153845,0.0,48.07692307692308,,0.0,GBR,1
1979-05-01,98.07692307692307,75.0,94.23076923076923,80.76923076923077,75.0,USA,0
1979-05-01,100.0,34.61538461538461,30.76923076923077,55.769230769230774,34.61538461538461,DEU,0
1979-06-01,98.11320754716981,16.9811320754717,45.28301886792453,62.264150943396224,16.9811320754717,FRA,0
1979-06-01,98.11320754716981,5.660377358490567,13.20754716981132,,67.9245283018868,JPN,0
1979-06-01,,3.7735849056603774,77.35849056603774,86.79245283018868,50.943396226415096,CAN,0
1979-06-01,,16.9811320754717,3.7735849056603774,47.16981132075472,16.9811320754717,AUS,0
1979-06-01,100.0,84.90566037735849,39.62264150943396,41.509433962264154,84.90566037735849,DEU,0
1979-06-01,92.45283018867924,75.47169811320755,94.33962264150944,77.35849056603774,77.35849056603774,USA,0
1979-06-01,100.0,24.528301886792452,83.01886792452831,,24.528301886792452,GBR,1
1979-07-01,90.74074074074075,11.11111111111111,37.03703703703704,85.18518518518519,11.11111111111111,FRA,0
1979-07-01,90.74074074074075,74.07407407407408,94.44444444444444,81.48148148148148,75.92592592592592,USA,0
1979-07-01,,0.0,77.77777777777779,85.18518518518519,24.074074074074073,CAN,0
1979-07-01,,3.7037037037037033,0.0,40.74074074074074,3.7037037037037033,AUS,0
1979-07-01,92.5925925925926,38.88888888888889,35.18518518518518,,72.22222222222221,JPN,0
1979-07-01,100.0,96.29629629629629,48.148148148148145,22.22222222222222,96.29629629629629,DEU,0
1979-07-01,100.0,100.0,98.14814814814815,,100.0,GBR,1
1979-08-01,61.81818181818181,14.545454545454545,49.09090909090909,,40.0,JPN,0
